subgroup,images,patients,positive,negative,auc_b,auc_d,delta_auc,delta_ci_lower,delta_ci_upper
AP,1713,1243,997,716,0.864169323613298,0.8662720003586178,0.0021026767453198314,-0.003870711540478006,0.008138084239930489
PA,564,500,194,370,0.89541655057119,0.8973948174979103,0.001978266926720318,-0.007047184935040687,0.011091706741697589
