variable,subgroup,images,patients,positive,negative,auc_b,auc_d,delta_auc,delta_ci_lower,delta_ci_upper
Sex,Male,1382,935,764,618,0.9009450346498585,0.8990134532947017,-0.0019315813551568084,-0.0077475313569016465,0.0036801742346222483
Sex,Female,894,711,426,468,0.8426828778941455,0.849905702018378,0.007222824124232474,-0.0005314268450896967,0.015199299555643581
Age,<50,550,368,249,301,0.9350491667667347,0.9412667280417351,0.006217561275000394,-0.0004543831849141227,0.01405775633047326
Age,50-69,861,633,414,447,0.871040430567714,0.8668579580455857,-0.004182472522128222,-0.011694432491673689,0.0030262643266291698
Age,70+,865,645,527,338,0.8339153183701424,0.8395124799299374,0.00559716155979495,-0.0038603139945130372,0.015244421782510897
